Symbol,volume,pe,roe,debt_to_equity
UBER,19000000,31.6,18.0,0.7
FDX,1900000,14.1,16.0,0.8
UPS,3100000,15.3,38.0,1.4
UNP,2400000,22.4,44.0,1.8
CSX,15000000,20.8,29.0,1.5
NSC,1400000,18.9,26.0,1.3
JBHT,1600000,24.6,18.0,0.4
DAL,9800000,8.1,31.0,2.2
