Symbol,volume,pe,roe,debt_to_equity
GLD,7800000,0.0,0.0,0.0
GDX,26000000,0.0,0.0,0.0
NEM,8200000,13.7,17.0,0.3
FCX,17000000,27.4,9.0,0.3
SCCO,1400000,22.8,34.0,0.8
TECK,3200000,18.9,12.0,0.2
AA,6200000,11.1,10.0,0.3
RIO,2900000,10.5,24.0,0.2
