Symbol,volume,pe,roe,debt_to_equity
SPY,72000000,0.0,0.0,0.0
QQQ,48000000,0.0,0.0,0.0
IWM,26000000,0.0,0.0,0.0
TSLA,86000000,63.8,22.0,0.2
NVDA,51000000,58.4,69.0,0.3
AAPL,78000000,31.2,145.0,1.8
AMZN,41000000,42.1,21.0,0.8
META,18000000,27.3,34.0,0.2
