Symbol,volume,pe,roe,debt_to_equity
SIDU,960000,0.0,-6.0,0.3
AXON,1380000,78.2,18.1,0.4
NNE,870000,0.0,-12.0,0.1
GD,1230000,19.1,17.0,0.5
NOC,980000,21.3,29.0,1.6
KTOS,1420000,92.8,5.4,0.3
HON,3400000,24.7,36.0,1.1
FLY,810000,0.0,-8.0,0.2
IR,2150000,27.1,9.8,0.7
XTIA,905000,0.0,-14.0,0.1
